0, 0, 3, 5, 0, 3, 0, 4, 1, 3, 1, 3, 1, 0, -1, -1, 100
0, 3, 3, 7, 1, 3, 4, 6, 0, 0, 1, 3, 1, 0, -1, -1, 100
1, 3, 6, 7, 0, 3, 3, 6, 4, 0, 3, 6, 4, 4, 3, 6, 0, 4, 0, 6, 1, 0, 1, 3, 1, 0, -1, -1, 100
0, 3, 3, 7, 1, 3, 4, 6, 0, 0, 1, 3, 1, 0, -1, -1, 100
1, 3, 6, 7, 0, 4, 3, 7, 4, 3, 3, 6, 4, 4, 3, 6, 4, 4, 3, 6, 4, 4, 3, 6, 4, 0, 3, 6, 1, 4, 4, 6, 0, 0, 1, 3, 1, 0, -1, -1, 100
1, 3, 6, 7, 4, 0, 6, 4, 0, 0, 3, 1, 0, 3, -1, -1, -100
0, 0, 3, 5, 0, 0, 0, 2, 4, 3, 0, 1, 4, 4, 0, 1, 4, 4, 0, 1, 4, 1, 0, 2, 4, 4, 0, 2, 4, 4, 0, 2, 4, 4, 0, 2, 4, 4, 0, 2, 4, 4, 0, 2, 4, 3, 0, 1, 4, 2, 0, 4, 1, 3, 1, 3, 1, 0, -1, -1, 100
0, 3, 3, 7, 0, 3, 0, 6, 1, 0, 1, 3, 1, 0, -1, -1, 100
1, 3, 7, 8, 1, 0, 8, 5, 0, 4, 8, 5, 4, 3, 8, 4, 0, 0, 5, 1, 0, 3, -1, -1, 100
0, 3, 3, 7, 1, 3, 4, 6, 0, 0, 1, 3, 1, 0, -1, -1, 100
